波数,光学的厚さfor,光学的厚さpython,誤差
4974.9,0.504173175,0.498520116,-1.133968044
4974.901,0.502333846,0.496702175,-1.133812406
4974.902,0.500604961,0.494993468,-1.133649899
4974.903,0.498988937,0.493396387,-1.133480088
4974.904,0.497488407,0.491913538,-1.133302496
4974.905,0.496107445,0.490547761,-1.133362565
4974.906,0.494846851,0.489302138,-1.133187824
4974.907,0.493711128,0.488180021,-1.13300545
4974.908,0.49270395,0.487185045,-1.132814958
4974.909,0.491829298,0.486321148,-1.132615819
4974.91,0.491091489,0.485592603,-1.132407456
4974.911,0.490495197,0.485004033,-1.132189237
4974.912,0.490045482,0.484560449,-1.131960468
4974.913,0.489747828,0.484267277,-1.131720389
4974.914,0.489610793,0.48413039,-1.132009688
4974.915,0.489636998,0.484156152,-1.132040857
4974.916,0.489833851,0.484351458,-1.131903861
4974.917,0.490209604,0.484723778,-1.131742531
4974.918,0.490772476,0.485281215,-1.131562785
4974.919,0.49153143,0.486032555,-1.131379855
4974.92,0.492496017,0.486987339,-1.131174678
4974.921,0.49367676,0.488155929,-1.130956449
4974.922,0.495085067,0.48954959,-1.130728551
4974.923,0.496733338,0.49118058,-1.130492306
4974.924,0.498635073,0.493062246,-1.130248059
4974.925,0.500804987,0.495209143,-1.129996042
4974.926,0.503259139,0.497637153,-1.129735928
4974.927,0.506015077,0.500363632,-1.129467566
4974.928,0.509091999,0.503407567,-1.1291907
4974.929,0.512510935,0.50678976,-1.128905078
4974.93,0.51629496,0.510533031,-1.128610446
4974.931,0.520469424,0.514662454,-1.128306531
4974.932,0.525062229,0.519205625,-1.127993048
4974.933,0.53010413,0.524192963,-1.127670081
4974.934,0.535629089,0.529658059,-1.127336772
4974.935,0.541674686,0.535638083,-1.126993019
4974.936,0.548282584,0.54217424,-1.126638489
4974.937,0.555499067,0.549312312,-1.126272784
4974.938,0.563375674,0.557103274,-1.125895385
4974.939,0.571969934,0.565604028,-1.125505785
4974.94,0.581346225,0.57487825,-1.12510337
4974.941,0.591576796,0.584997404,-1.12468742
4974.942,0.602742989,0.596041946,-1.124257035
4974.943,0.614936726,0.6081028,-1.123810881
4974.944,0.628262379,0.621283215,-1.123346642
4974.945,0.642839236,0.635701201,-1.122860008
4974.946,0.658804931,0.651492945,-1.122343066
4974.947,0.676320484,0.66881781,-1.121781377
4974.948,0.695577908,0.687865915,-1.121147757
4974.949,0.716811591,0.708869486,-1.120390312
4974.95,0.740314399,0.732118943,-1.119415919
4974.951,0.766458136,0.757983311,-1.118075482
4974.952,0.795714856,0.786931467,-1.1161568
4974.953,0.828670735,0.819545968,-1.113393035
4974.954,0.866019703,0.856516666,-1.109498246
4974.955,0.908524262,0.898601088,-1.104291366
4974.956,0.956942958,0.94654794,-1.098203036
4974.957,1.011922805,1.001001669,-1.091020754
4974.958,1.073948077,1.062433913,-1.083753417
